Date,Price,Open,High,Low,Vol.,Change %
1-Jun-21,67.782,70.097,71.7846,65.7552,53.77M,-3.37%
31-May-21,70.1495,66.0566,70.6039,61.9379,55.59M,5.96%
30-May-21,66.201,64.3093,68.2254,59.88,56.52M,2.99%
29-May-21,64.2769,68.1937,70.8663,61.0124,61.36M,-5.79%
28-May-21,68.2287,74.6338,79.3402,63.657,76.97M,-8.40%
27-May-21,74.4887,79.8279,79.8505,71.1911,72.08M,-6.65%
26-May-21,79.7978,78.3382,83.1994,74.0249,76.84M,1.80%
25-May-21,78.3835,73.4944,82.9155,70.1271,93.43M,6.64%
24-May-21,73.5054,51.5416,74.7373,48.911,74.95M,42.64%
23-May-21,51.5337,58.532,62.5506,40.006,88.25M,-11.92%
22-May-21,58.5067,64.1978,64.7593,54.2814,372.14M,-8.96%
21-May-21,64.2677,73.7796,78.106,54.6682,700.66M,-12.94%
20-May-21,73.8199,59.3726,79.0219,54.5274,762.95M,23.71%
19-May-21,59.6707,88.6051,90.2152,39.8758,832.61M,-32.68%
18-May-21,88.6406,89.5877,95.5691,86.0009,761.92M,-1.22%
17-May-21,89.7338,93.7068,94.3161,80.4819,859.67M,-4.36%
16-May-21,93.829,94.9685,103.2633,87.0287,859.25M,-1.23%
15-May-21,94.9933,103.3899,114.6325,94.7659,1.04B,-8.04%
14-May-21,103.2998,88.2417,109.4408,86.5548,1.03B,17.07%
13-May-21,88.2403,84.9866,94.8217,76.9054,982.53M,4.94%
12-May-21,84.0866,111.169,114.1692,81.8903,1.09B,-24.32%
11-May-21,111.1127,105.0895,117.6309,102.2644,1.24B,5.76%
10-May-21,105.0571,117.9117,129.5448,91.3245,1.26B,-10.90%
9-May-21,117.9116,127.3868,129.6396,113.1061,1.20B,-7.43%
8-May-21,127.38,119.6205,134.313,110.3032,1.15B,6.57%
7-May-21,119.5318,133.8445,148.6524,108.6036,1.43B,-10.69%
6-May-21,133.8455,94.1013,177.0757,87.4623,1.49B,42.24%
5-May-21,94.1017,71.0335,99.5209,71.0335,865.45M,35.07%
4-May-21,69.6714,52.0681,71.4893,49.2236,615.10M,33.81%
3-May-21,52.0689,44.8908,52.3503,44.2694,424.44M,16.01%
2-May-21,44.8828,44.7439,46.6133,42.0257,390.23M,0.43%
1-May-21,44.6899,36.3485,46.5065,36.246,343.76M,22.95%
30-Apr-21,36.3485,34.5088,36.7474,33.7592,262.89M,5.33%
29-Apr-21,34.5089,35.0792,35.3485,33.6272,262.87M,-1.66%
28-Apr-21,35.0916,33.8116,36.3571,32.3113,293.29M,3.82%
27-Apr-21,33.8,32.8099,34.3606,31.9413,283.14M,2.87%
26-Apr-21,32.8585,29.2812,32.9112,28.9495,311.59M,12.44%
25-Apr-21,29.223,29.6555,31.8273,27.8556,275.49M,-1.53%
24-Apr-21,29.6785,32.5645,32.8469,29.3193,300.77M,-8.86%
23-Apr-21,32.5651,33.5833,34.5012,25.1224,349.73M,-3.03%
22-Apr-21,33.5838,31.9666,39.4982,31.578,379.50M,5.02%
21-Apr-21,31.9787,33.7748,35.5026,31.6304,303.26M,-5.37%
20-Apr-21,33.7925,33.4438,35.2618,30.0577,309.21M,1.04%
19-Apr-21,33.4453,37.1051,38.329,32.1901,321.22M,-9.95%
18-Apr-21,37.139,37.7159,39.1133,31.2875,425.48M,-1.98%
17-Apr-21,37.891,38.3103,49.6314,37.3025,482.59M,-1.11%
16-Apr-21,38.3147,28.5805,45.4272,28.5805,326.10M,34.06%
15-Apr-21,28.5804,21.9017,29.7795,21.459,198.47M,30.50%
14-Apr-21,21.9005,21.2169,22.6945,20.1505,167.60M,3.18%
13-Apr-21,21.2249,19.5325,22.0162,19.4223,161.39M,8.60%
12-Apr-21,19.5433,20.3683,20.5641,18.9901,153.87M,-4.13%
11-Apr-21,20.3856,20.4444,21.5128,19.8413,160.58M,-0.29%
10-Apr-21,20.445,18.7756,21.2129,18.3207,156.16M,8.96%
9-Apr-21,18.7646,19.6048,20.0969,18.5705,150.50M,-4.28%
8-Apr-21,19.6044,19.1577,19.8366,18.0078,149.75M,2.48%
7-Apr-21,19.1301,17.7649,20.7839,16.9903,156.88M,7.92%
6-Apr-21,17.726,16.0881,18.5929,15.973,143.52M,10.18%
5-Apr-21,16.088,14.5478,16.1007,14.3202,126.16M,10.59%
4-Apr-21,14.5478,13.5698,14.5727,13.3588,114.16M,7.21%
3-Apr-21,13.5699,15.2506,15.3411,13.5134,118.73M,-11.05%
2-Apr-21,15.2565,14.317,15.6205,14.1048,117.84M,6.49%
1-Apr-21,14.327,14.1109,14.4873,13.5713,113.54M,1.65%
31-Mar-21,14.0939,13.0222,14.3485,12.6143,107.08M,8.18%
30-Mar-21,13.0279,12.6398,13.0548,12.3487,94.11M,3.04%
29-Mar-21,12.6437,11.8668,12.7532,11.7319,94.11M,6.55%
28-Mar-21,11.8668,11.7887,12.0548,11.7127,89.11M,0.67%
27-Mar-21,11.7884,11.7547,11.9733,11.4362,88.73M,0.28%
26-Mar-21,11.7553,11.0835,11.7582,11.0762,88.23M,6.10%
25-Mar-21,11.0794,11.2983,11.4618,10.7661,91.35M,-1.95%
24-Mar-21,11.2992,12.2359,12.6239,11.0964,97.40M,-7.62%
23-Mar-21,12.2312,11.6571,12.6649,11.6136,105.65M,4.93%
22-Mar-21,11.6568,11.981,12.3902,11.58,96.07M,-2.73%
21-Mar-21,11.9835,12.3113,12.4588,11.9319,89.77M,-2.67%
20-Mar-21,12.3122,12.2613,12.8669,12.2192,90.44M,0.40%
19-Mar-21,12.2628,12.1638,12.4299,11.9214,92.02M,0.83%
18-Mar-21,12.1625,12.5765,12.6642,12.1064,97.13M,-3.32%
17-Mar-21,12.5801,12.4208,12.583,11.7654,96.28M,1.23%
16-Mar-21,12.4269,12.1347,12.5587,11.5511,96.55M,2.49%
15-Mar-21,12.125,12.7118,13.0964,11.7863,98.68M,-4.64%
14-Mar-21,12.7149,13.7699,14.1147,12.7149,104.84M,-7.70%
13-Mar-21,13.7752,11.9419,14.2975,11.5543,102.67M,15.42%
12-Mar-21,11.9352,12.258,12.5377,11.4519,104.49M,-2.63%
11-Mar-21,12.2575,11.9603,12.5951,11.6892,121.40M,2.41%
10-Mar-21,11.9692,12.3924,12.7436,11.6377,115.64M,-3.46%
9-Mar-21,12.3982,11.6923,12.6572,11.5199,115.48M,6.05%
8-Mar-21,11.6905,11.5484,11.9778,11.0336,107.57M,1.27%
7-Mar-21,11.5435,11.1076,11.783,11.1076,101.46M,3.90%
6-Mar-21,11.1102,10.9334,11.2449,10.6378,100.20M,1.61%
5-Mar-21,10.9337,11.0006,11.09,10.3403,106.00M,-0.58%
4-Mar-21,10.9975,11.248,11.7096,10.6975,123.53M,-2.25%
3-Mar-21,11.2512,10.9053,11.7311,10.8129,110.43M,3.12%
2-Mar-21,10.9106,11.0943,11.4998,10.5719,117.18M,-1.62%
1-Mar-21,11.0907,10.3744,11.1684,10.1828,104.42M,6.97%
28-Feb-21,10.3684,11.0984,11.1269,9.7123,116.19M,-6.59%
27-Feb-21,11.1,10.7218,11.4978,10.7095,115.83M,3.53%
26-Feb-21,10.722,11.0258,11.2955,10.0691,166.20M,-2.90%
25-Feb-21,11.0426,11.8763,12.1815,10.9296,151.18M,-7.06%
24-Feb-21,11.8813,11.3872,12.483,10.8611,171.79M,4.34%
23-Feb-21,11.3871,13.9296,13.9998,9.2485,255.24M,-18.23%
